case_name,diffusivity,RoI
office3_960_164_aout,0.14818181,0.258154
office3_960_82_bout,0.13363637,0.2761683
office3_960_246_bout,0.14454545,0.26750073
office3_660_164_bout,0.13636364,0.27644834
office3_0_164_bout,0.121515155,0.32952976
office3_0_82_aout,0.124242425,0.31453863
office3_960_82_aout,0.14333333,0.30449873
office3_0_246_bout,0.12090909,0.33526853
office3_0_0,0.11545455,0.34830108
office3_0_82_bout,0.11878788,0.328675
office3_660_246_bout,0.14,0.23552017
office3_0_246_aout,0.1139394,0.334809
office3_660_164_aout,0.121818185,0.29746467
office3_360_82_aout,0.124545455,0.3569269
office3_660_246_aout,0.12969697,0.31744373
office3_660_82_bout,0.13636364,0.26943117
office3_360_164_aout,0.1290909,0.3293239
office3_360_0,0.12666667,0.33079135
office3_960_0,0.18727273,0.20627938
office3_660_82_aout,0.13272727,0.3007194
office3_0_164_aout,0.12090909,0.34039867
office3_360_246_bout,0.12545455,0.33808774
office3_960_246_aout,0.13363637,0.31151304
office3_960_164_bout,0.15818182,0.23537235
office3_360_246_aout,0.12060606,0.3234643
office3_360_164_bout,0.13060606,0.31156272
office3_660_0,0.1139394,0.29950142
office3_360_82_bout,0.12545455,0.33513594
